"","zip_code","black_09_inc","err_black_09_inc","asian_09_inc","err_asian_09_inc","latino_09_inc","err_latino_09_inc","white_09_inc","err_white_09_inc","black_10_inc","err_black_10_inc","asian_10_inc","err_asian_10_inc","latino_10_inc","err_latino_10_inc","white_10_inc","err_white_10_inc","black_11_inc","err_black_11_inc","asian_11_inc","err_asian_11_inc","latino_11_inc","err_latino_11_inc","white_11_inc","err_white_11_inc","black_12_inc","err_black_12_inc","asian_12_inc","err_asian_12_inc","latino_12_inc","err_latino_12_inc","white_12_inc","err_white_12_inc","black_13_inc","err_black_13_inc","asian_13_inc","err_asian_13_inc","latino_13_inc","err_latino_13_inc","white_13_inc","err_white_13_inc","black_14_inc","err_black_14_inc","asian_14_inc","err_asian_14_inc","latino_14_inc","err_latino_14_inc","white_14_inc","err_white_14_inc","black_15_inc","err_black_15_inc","asian_15_inc","err_asian_15_inc","latino_15_inc","err_latino_15_inc","white_15_inc","err_white_15_inc","black_16_inc","err_black_16_inc","asian_16_inc","err_asian_16_inc","latino_16_inc","err_latino_16_inc","white_16_inc","err_white_16_inc"
"11","13",36060,268,62545,1421,57370,277,38958,628,36364,347,62460,1260,57583,322,38287,637,36862,290,61986,1492,58146,367,37371,693,36618,354,62709,1294,58045,282,37132,812,36055,260,63460,1414,57654,339,36926,710,36356,272,64364,1118,57820,316,38032,616,36655,299,65611,1571,57966,345,38784,675,37887,397,69946,1764,59595,321,41157,558
"12","15",56227,5596,67629,1025,66650,1195,55981,2336,57060,5715,69610,1012,68617,1648,54050,1858,57832,4821,70573,1296,69171,1368,54879,2871,57898,4729,71638,1350,69363,1327,54110,2773,59336,3430,72696,1208,68713,1316,52862,2751,61829,3132,73765,1047,68592,1172,55180,3151,62115,2665,74800,1023,69834,1376,56637,2238,66009,5985,76774,1047,72756,1504,58504,2742
"13","16",37672,6298,47588,7566,47736,392,34364,1041,30804,6474,42837,4521,48049,408,35141,1097,33411,5843,41534,3353,48607,499,35271,1294,34864,3324,45830,6479,48625,471,35284,1257,33935,5737,50220,5949,48387,452,36181,1357,33391,7758,53582,5472,48929,476,37346,1350,37928,7970,55525,5656,49061,487,38085,1342,41690,7819,53443,4727,50608,428,39540,1294
"14","17",34456,408,72528,1145,60511,215,46883,541,34874,405,72492,1111,61342,214,47170,487,35092,324,74986,1243,62519,240,47182,534,34735,382,75230,1225,62990,229,46916,473,34210,378,75533,1138,63142,178,46425,508,34174,367,75890,1179,63847,270,46782,435,33730,448,76810,1200,64353,250,47082,462,34404,472,79406,1461,65880,231,48896,474
"15","18",30380,559,53714,2878,49950,201,37666,1012,30814,454,52078,1926,50409,183,36855,793,30898,433,53742,1864,51150,205,37148,743,30609,499,52348,2259,51087,207,38326,772,30290,534,52927,2114,51034,210,38296,817,30531,562,52818,2296,51623,224,38618,964,30349,447,54246,3125,52006,192,39712,1098,31171,390,54282,2728,53279,252,41281,879
"16","19",24840,1573,53039,5242,49117,222,37152,1276,24860,1198,52345,3896,50151,263,38388,1232,26151,1149,55839,3800,51664,258,38666,1278,26607,959,57596,2928,52434,282,38780,1538,27060,995,59560,2729,53178,280,39512,1464,27745,1389,59028,3494,54102,279,40551,1147,28670,1319,56976,3985,54717,308,40387,1212,29802,1408,56508,3425,56178,289,42082,1091
"17","20",31695,950,58713,4342,50750,275,36947,726,31195,931,57315,3171,51852,272,37572,947,32297,949,59306,3104,53098,306,38337,875,32333,891,59033,3185,53862,247,39379,946,32311,947,60179,2627,54022,313,39726,929,32903,1124,60287,2881,54776,307,39779,859,33677,1160,59365,3138,55420,319,40117,838,33887,1272,61022,2696,56879,333,41492,711
"18","21",28511,596,58590,3170,42466,252,36073,2071,28722,673,59735,2517,42943,265,34639,1955,28927,812,64284,2963,43812,272,34024,1584,29055,711,63646,2538,44185,264,34369,1647,29251,647,61476,2498,44609,275,34220,1522,28858,753,62293,2347,45053,262,34575,1325,29358,729,62948,2551,45475,328,35672,1491,30418,601,61215,1769,46561,319,35995,1192
"19","22",26256,306,50457,1889,51057,325,39638,1405,27107,299,51318,2148,52264,298,42007,1127,27740,416,53035,2807,53549,338,42024,1030,28144,387,52114,2524,54427,367,42939,1249,28070,408,51773,2596,54619,383,44201,1375,28116,355,53586,3461,55070,488,44481,1301,27756,386,54313,2513,55479,455,42637,1727,28095,394,54579,3828,56299,495,43286,1780
"20","23",27091,4298,43911,2936,47102,408,36480,2490,35235,6289,44034,3919,47487,461,35167,3593,28281,4613,50219,5440,48509,416,36426,2655,27479,3415,50154,5450,48773,459,37347,3672,27020,3452,51677,4330,48978,542,38237,3847,24370,4351,53495,4135,49360,500,39421,3105,23453,4225,51657,4386,49915,512,41535,2930,27794,5516,53723,6337,51335,421,43099,3448
"21","24",54473,427,86487,2063,76868,398,61135,1103,56075,429,87555,1961,78222,474,61818,1259,57309,494,89575,2168,80693,475,62774,1390,57660,504,91209,2182,81842,406,61697,1169,58091,498,91826,2309,82732,429,62242,1117,58657,564,92457,2056,83652,509,62493,1194,59021,633,93936,2116,84120,453,62463,1200,60593,516,96981,2055,85808,483,64560,1051
"22","25",41374,972,73159,1859,68883,362,32205,979,42115,1270,71704,1324,69431,400,32206,697,42265,923,74519,1767,71277,400,33723,1033,42676,960,75255,1741,72091,359,34089,954,43345,834,75996,1563,72488,388,34269,779,42895,861,77889,1769,73949,395,34870,679,42959,1038,78996,2138,74905,356,36171,765,44117,1261,82020,1635,77261,369,37100,808
"23","26",31278,348,70182,1531,52010,163,38416,862,31308,271,70525,1537,51764,167,38175,985,30796,302,72610,2106,52067,166,38444,834,30261,292,72194,2157,52087,199,38552,666,29629,353,73269,2150,52113,176,37640,818,29628,366,73809,1882,52740,190,38757,888,29678,455,74517,1733,53303,195,39571,1081,30732,351,76370,1799,54670,209,41318,804
"24","27",28913,1021,60277,1887,59167,244,40068,1647,28595,956,60371,1307,59870,223,40163,1299,28881,800,61931,1555,61205,234,40193,981,29003,857,64093,1249,61860,229,40933,1289,29896,998,64716,1459,62560,244,41196,1101,29873,959,65575,1551,63642,291,41674,984,30314,905,66780,1688,64485,274,42227,1054,30703,721,69647,1469,66399,254,44000,1349
"25","28",23935,352,43576,3655,46405,494,36941,2961,24609,382,44359,4654,47508,450,40051,2129,25455,361,48674,5700,48319,514,40713,2730,25734,367,49193,4909,48454,474,38958,3140,25800,392,50162,5820,48573,443,39091,3498,26384,317,51584,4806,48960,474,38802,3303,26549,300,52727,3922,49333,505,37488,2089,27174,379,53833,4065,50525,390,37891,2662
"26","29",30388,420,56370,2381,48494,197,39640,1590,30653,469,56587,2285,48929,226,38811,1558,31593,475,59040,2789,49991,177,38722,1350,31374,496,61507,2149,50245,204,38094,1129,31511,459,61613,1940,50312,221,37732,1320,31831,487,61162,2527,50811,223,38431,1263,31977,387,60908,2205,51135,220,38712,1613,32923,594,62232,2448,52421,243,40566,1044
"27","30",24734,8688,34300,7438,44385,485,31668,2596,34079,10278,34732,9117,45121,498,32182,1866,27477,10559,40000,6175,46596,438,33921,2732,36406,24594,40089,6205,47014,536,33206,1516,45919,15852,47015,4853,47687,513,35417,2947,36842,15211,47631,4426,48332,606,36434,1680,31074,9224,51704,4285,48906,529,36762,2009,28863,3509,50125,7039,50176,474,37045,2312
"28","31",26505,1236,56563,4437,50031,299,37745,994,27468,1624,54847,3880,51552,301,37714,1092,27449,1313,52410,2519,53012,371,38720,1233,27817,1440,53135,2871,53996,305,38645,1157,27577,1190,50867,3017,54434,347,38461,1303,28376,1561,51551,3178,55369,401,39328,1346,29967,1403,50787,2943,56275,368,39703,964,30577,1305,49595,3312,57723,430,41429,1143
"29","32",42257,1206,61167,1989,60459,495,46634,738,42193,1195,60944,1994,60751,503,46605,758,41249,1386,62250,2090,60971,595,45579,927,40414,1237,62217,2096,59342,535,44039,657,38637,1226,60827,2134,57919,552,43259,741,37269,1269,60168,1757,57399,576,43255,603,37566,1176,60329,1405,57074,533,43108,723,37435,1081,61775,996,58739,530,44672,726
"30","33",40779,7466,73612,6967,63280,446,52137,4072,47638,7137,73495,4538,63477,553,51336,5560,47708,7129,76141,5964,64940,514,50800,5416,46517,4907,78145,5354,65307,537,46875,4860,48495,4781,74858,5788,65362,652,48961,4136,49815,3669,78339,5616,66460,565,48670,4592,50103,4814,79577,4169,67262,551,49749,4485,50362,5908,77799,4628,69139,567,50354,3136
"31","34",46139,562,96884,1358,77475,348,48093,756,47191,589,98932,1502,78090,390,48578,520,47455,696,101537,1341,79840,310,49701,679,47714,655,102138,965,80565,366,49401,659,46843,606,102575,1386,80802,340,49384,632,46640,603,103101,987,81644,335,49097,775,46546,564,104575,1295,82102,290,48265,684,47299,633,106785,1297,83969,433,49939,610
"32","35",36943,3151,53765,5071,51590,595,35780,504,39100,3452,52368,5991,52444,628,36392,487,39386,3518,55591,4649,53454,551,36942,534,37101,3235,56100,4500,54040,561,37004,596,41214,3533,57457,6905,54334,587,36851,512,40960,2955,58744,4559,54464,662,37184,664,38146,4604,58780,4179,54650,707,37248,534,41306,1659,60458,3831,55647,714,37961,636
"33","36",40081,386,60175,664,62766,224,38163,328,40774,305,59997,756,63422,238,39541,360,41207,346,61379,786,65147,256,40203,354,41536,346,61710,958,66000,232,40238,389,41755,344,62106,739,66491,230,40533,408,41598,339,62420,868,67485,240,40814,358,41615,320,63018,932,68221,299,40824,266,42483,386,65353,860,70083,284,41715,335
"34","37",31273,292,59111,1754,51045,222,34447,611,31977,254,59843,2240,51638,242,34523,608,32529,314,62245,1786,52399,281,34918,615,32702,324,63958,1436,52674,223,34359,585,32565,301,65157,2152,52470,267,34559,589,32930,293,67138,2128,52875,235,34938,675,32798,333,68866,2344,53157,275,34708,612,34040,295,72173,1985,54485,267,36103,547
"35","38",25481,4457,37703,6899,46406,544,42459,3202,24814,6562,37269,9036,48475,533,38156,5991,26743,5226,39382,4050,51206,505,41058,5048,29390,3278,42169,9436,53417,647,43056,3059,29923,3758,38198,8626,55672,629,43658,2972,29012,2162,44537,12879,57825,829,42932,3880,29525,2188,44743,15087,59896,792,43940,3341,28474,2768,53884,19134,61734,678,44449,4086
"36","39",28219,346,62834,1524,50358,178,36014,1058,28759,369,63906,1338,50641,180,36350,1055,28802,324,66339,1310,51496,174,36752,870,28162,382,67517,1506,51752,162,36656,886,28044,389,69030,2056,51816,183,37025,789,27909,427,69172,2164,52464,163,37644,894,28003,366,68818,2559,53074,188,38361,973,29033,312,69184,1958,54490,195,39300,1124
"37","40",27875,716,45302,2684,45278,330,32716,786,28504,764,50303,2236,46628,315,34193,784,29465,817,50986,2242,47881,310,35271,662,30076,700,52882,2543,48783,286,35761,775,29949,758,53461,2405,49252,224,36362,803,30484,646,52833,2296,50201,245,37552,668,30560,487,53308,2387,50705,217,38205,902,31200,615,54937,2110,51916,215,39624,876
"38","41",31794,2190,58582,1975,50557,279,36572,911,32168,2324,59136,1558,50822,292,37397,934,32735,2453,58773,2417,51389,282,38003,905,32767,2907,60487,2276,51466,355,38582,800,32571,2675,61608,1989,51799,273,38834,936,33505,2565,62398,2373,52100,277,39723,810,32481,2330,64623,2689,52841,372,40565,832,32062,2808,68694,2131,55125,358,42311,1020
"39","42",31308,382,61303,1935,52594,167,32554,718,31995,355,60471,1482,53413,151,32876,808,32621,428,62635,1566,54859,166,33612,824,32496,393,63627,1327,55567,187,33376,729,32426,351,64397,1219,56035,192,33963,657,32606,363,65319,1377,56875,179,34491,735,32493,373,65013,1697,57559,195,34494,639,33645,507,66318,1500,59238,219,35607,623
"40","44",38395,1436,53610,5236,60145,737,33703,1382,34699,2436,53357,4292,60051,804,33679,1543,36853,3465,54842,4695,61356,698,33792,1659,35120,2296,56203,4064,61693,682,32145,1551,33793,2132,53422,2916,62188,761,31820,1489,33969,1656,54070,3491,62747,705,30827,1650,36209,2472,53441,4820,63237,861,31121,1563,37046,2155,62256,7749,64474,721,32464,1679
"41","45",28462,301,51607,3798,51269,273,35995,1146,28899,359,50349,2539,51625,297,35843,1052,29486,373,53126,2754,52345,307,35478,1253,29676,432,54282,2350,52249,307,36190,1173,29670,386,57298,2805,52276,339,36510,1110,29971,330,54865,2795,52480,288,36646,1236,30221,277,55313,3038,52996,408,36869,1048,31030,323,58446,2946,54614,399,38057,1451
"42","46",32401,6878,46768,2660,46552,402,36733,4108,31888,4742,46892,5059,48358,419,36290,5354,31114,4560,47104,6577,50424,481,36162,4318,32442,2412,48630,1304,51381,423,38684,6170,33806,3182,47690,1698,51879,502,35625,3559,33516,3881,47094,3390,52766,489,38767,5063,31758,2317,47699,3344,53435,607,39920,4118,35916,7392,47000,4588,54891,608,41183,4022
"43","47",30388,387,60447,2678,46035,228,34483,961,31362,327,60268,2922,46336,235,34606,997,31945,419,63936,2661,47100,232,34857,1021,31979,405,65058,2791,47285,276,33956,1061,32064,354,65226,3062,47516,275,34295,1335,32361,377,66243,1903,48023,271,34631,1050,32344,365,66331,1962,48747,285,35721,891,33293,556,66821,2276,50273,225,37146,1057
"44","48",34998,312,64193,940,59721,208,35705,213,36464,345,64673,1050,61049,198,37019,177,37419,299,67329,1064,62904,215,38154,216,37906,357,70090,1064,63393,224,38848,199,38156,386,71259,995,63924,220,39629,180,38709,345,73999,921,64875,190,40557,205,39345,402,75796,938,65714,201,41248,191,40750,258,78580,1166,67407,237,42503,272
"45","49",36881,3651,54443,3044,57983,403,41391,836,38731,4584,54627,2965,59013,373,41195,674,36444,5011,57635,3592,60538,395,42684,880,37785,4350,57627,2975,61048,388,42037,1036,36441,3963,55396,3335,61818,415,42056,1071,39915,4238,60046,2213,62817,368,42155,1008,38900,3256,61124,2074,63767,397,43192,1117,40622,4145,63283,2873,65784,394,44366,910
"46","50",40240,6671,48563,9048,51553,490,51858,7039,40873,5407,39671,8443,52153,431,50833,6215,42167,4135,39496,8274,53761,478,54964,6416,45690,8478,45313,8307,54545,652,54547,7206,49559,10188,48350,7595,54675,586,53007,4836,54531,8461,55417,9463,54682,584,50410,6894,50417,9152,55179,7895,55504,580,51231,6398,42935,12295,53801,5810,56602,794,49396,3775
"47","51",41925,403,82867,1614,65486,278,57544,1140,42468,378,83569,2163,66655,304,57793,1275,43597,537,87364,1409,68728,360,59874,1029,43803,463,89847,1563,69165,291,59245,1066,43885,419,92480,1968,69424,349,59930,1161,44288,463,94223,1645,70309,322,60459,901,44562,563,94896,1924,70415,309,60904,1036,45374,440,96617,1291,71663,345,61545,1054
"48","53",39703,1274,64227,1172,58718,269,40350,712,40497,1059,66251,1376,59820,304,41284,647,40418,970,68652,1546,61463,246,42046,679,41087,1075,70148,1439,62022,282,42295,600,41325,1086,70991,1318,62101,304,42320,731,42120,1091,72430,1445,62818,318,42945,612,42200,1178,74914,1237,63582,330,44073,695,44438,1391,78778,1671,65599,367,46297,713
"49","54",24394,1408,51438,6228,37765,333,34910,5403,25866,1469,51208,6293,38866,368,36002,4492,27192,2224,56411,7649,40036,321,36674,3868,27366,2033,60156,13220,40866,316,38799,4971,28138,2085,54670,7482,41504,338,39744,5313,28993,1845,51842,5248,42123,362,40751,5091,29202,1859,57500,7357,42224,450,40847,1637,31119,2503,60814,4743,43060,410,41955,3080
"50","55",27986,805,55544,2443,53786,174,37911,947,27859,767,53994,2366,54013,152,37787,1146,27647,682,54462,2992,54951,167,38813,840,27318,715,54858,2299,55159,195,38287,851,27016,517,55000,2409,55199,203,36788,844,26968,515,53887,2412,55749,203,36826,740,27099,565,57785,2353,56470,218,37766,918,27979,800,60488,1923,57786,237,38972,981
"51","56",40688,7330,39018,7393,53482,722,43202,2151,35714,12313,49861,20506,55247,748,45256,2498,31848,7139,45838,15350,57919,875,46623,2585,31344,4799,46205,10545,58396,1078,43050,5076,33750,6080,38053,3981,59438,842,44436,3259,36479,10105,43125,10039,60462,760,42803,3103,38958,8227,38762,7044,60950,784,43813,2731,44079,7352,45049,8502,61200,762,45234,2634
"52","72",18102,487,18331,2518,29745,2077,18523,142,18185,523,17632,2768,30628,2340,18692,157,18425,571,17047,3332,27964,2643,19050,140,19072,495,17163,3094,27042,2622,19448,148,19238,563,15637,3213,27023,2189,19561,141,19463,499,15639,3411,28278,3894,19625,140,19057,459,14389,3087,27066,3382,19291,161,19001,458,15356,2688,29437,2760,19537,167
