"","state","black_05_inc","err_black_05_inc","asian_05_inc","err_asian_05_inc","latino_05_inc","err_latino_05_inc","white_05_inc","err_white_05_inc","black_06_inc","err_black_06_inc","asian_06_inc","err_asian_06_inc","latino_06_inc","err_latino_06_inc","white_06_inc","err_white_06_inc","black_07_inc","err_black_07_inc","asian_07_inc","err_asian_07_inc","latino_07_inc","err_latino_07_inc","white_07_inc","err_white_07_inc","black_08_inc","err_black_08_inc","asian_08_inc","err_asian_08_inc","latino_08_inc","err_latino_08_inc","white_08_inc","err_white_08_inc","black_09_inc","err_black_09_inc","asian_09_inc","err_asian_09_inc","latino_09_inc","err_latino_09_inc","white_09_inc","err_white_09_inc","black_10_inc","err_black_10_inc","asian_10_inc","err_asian_10_inc","latino_10_inc","err_latino_10_inc","white_10_inc","err_white_10_inc","black_11_inc","err_black_11_inc","asian_11_inc","err_asian_11_inc","latino_11_inc","err_latino_11_inc","white_11_inc","err_white_11_inc","black_12_inc","err_black_12_inc","asian_12_inc","err_asian_12_inc","latino_12_inc","err_latino_12_inc","white_12_inc","err_white_12_inc","black_13_inc","err_black_13_inc","asian_13_inc","err_asian_13_inc","latino_13_inc","err_latino_13_inc","white_13_inc","err_white_13_inc","black_14_inc","err_black_14_inc","asian_14_inc","err_asian_14_inc","latino_14_inc","err_latino_14_inc","white_14_inc","err_white_14_inc","black_15_inc","err_black_15_inc","asian_15_inc","err_asian_15_inc","latino_15_inc","err_latino_15_inc","white_15_inc","err_white_15_inc","black_16_inc","err_black_16_inc","asian_16_inc","err_asian_16_inc","latino_16_inc","err_latino_16_inc","white_16_inc","err_white_16_inc"
"32","New Mexico",30818,5841,48035,9238,46459,893,32020,942,38006,5658,44034,18427,49989,1434,33789,1180,35515,4189,53584,6252,49966,794,34481,675,37243,4243,53769,7592,51494,706,36053,788,36943,3151,53765,5071,51590,595,35780,504,39100,3452,52368,5991,52444,628,36392,487,39386,3518,55591,4649,53454,551,36942,534,37101,3235,56100,4500,54040,561,37004,596,41214,3533,57457,6905,54334,587,36851,512,40960,2955,58744,4559,54464,662,37184,664,38146,4604,58780,4179,54650,707,37248,534,41306,1659,60458,3831,55647,714,37961,636
"33","New York",35843,712,53337,1652,55970,387,33472,968,37107,658,54099,2222,58186,557,36147,665,38682,485,56532,1403,60242,195,37019,472,40522,488,60024,1304,63254,243,38688,462,40081,386,60175,664,62766,224,38163,328,40774,305,59997,756,63422,238,39541,360,41207,346,61379,786,65147,256,40203,354,41536,346,61710,958,66000,232,40238,389,41755,344,62106,739,66491,230,40533,408,41598,339,62420,868,67485,240,40814,358,41615,320,63018,932,68221,299,40824,266,42483,386,65353,860,70083,284,41715,335
"34","North Carolina",27889,707,50798,4620,45817,483,31773,1815,29243,651,52670,6039,48624,555,33187,1530,30099,451,55371,2478,49701,319,34711,921,31580,394,60146,2760,52266,269,35559,705,31273,292,59111,1754,51045,222,34447,611,31977,254,59843,2240,51638,242,34523,608,32529,314,62245,1786,52399,281,34918,615,32702,324,63958,1436,52674,223,34359,585,32565,301,65157,2152,52470,267,34559,589,32930,293,67138,2128,52875,235,34938,675,32798,333,68866,2344,53157,275,34708,612,34040,295,72173,1985,54485,267,36103,547
"35","North Dakota",24538,3690,41431,23778,41616,768,40625,12041,22931,4278,28388,14639,43458,1458,31516,12374,25088,3715,32344,11269,44550,622,34479,8504,27942,8060,40666,9932,46903,638,29343,5146,25481,4457,37703,6899,46406,544,42459,3202,24814,6562,37269,9036,48475,533,38156,5991,26743,5226,39382,4050,51206,505,41058,5048,29390,3278,42169,9436,53417,647,43056,3059,29923,3758,38198,8626,55672,629,43658,2972,29012,2162,44537,12879,57825,829,42932,3880,29525,2188,44743,15087,59896,792,43940,3341,28474,2768,53884,19134,61734,678,44449,4086
"36","Ohio",26034,604,54708,3375,46509,363,31210,2444,27140,660,54313,5556,47508,362,37439,2228,28077,396,59130,2165,49422,212,35733,1097,29127,430,64924,2361,51262,167,37323,1401,28219,346,62834,1524,50358,178,36014,1058,28759,369,63906,1338,50641,180,36350,1055,28802,324,66339,1310,51496,174,36752,870,28162,382,67517,1506,51752,162,36656,886,28044,389,69030,2056,51816,183,37025,789,27909,427,69172,2164,52464,163,37644,894,28003,366,68818,2559,53074,188,38361,973,29033,312,69184,1958,54490,195,39300,1124
"37","Oklahoma",25871,2100,33085,4914,40152,589,29835,1818,24119,1536,45298,6104,42085,539,29838,1953,26760,924,42954,3375,43480,358,31652,959,27732,1045,46998,4090,46135,367,33074,1036,27875,716,45302,2684,45278,330,32716,786,28504,764,50303,2236,46628,315,34193,784,29465,817,50986,2242,47881,310,35271,662,30076,700,52882,2543,48783,286,35761,775,29949,758,53461,2405,49252,224,36362,803,30484,646,52833,2296,50201,245,37552,668,30560,487,53308,2387,50705,217,38205,902,31200,615,54937,2110,51916,215,39624,876
"38","Oregon",29819,2604,48823,2703,44498,589,31432,2134,29293,4924,58200,7457,47656,680,35744,2263,30569,2291,55353,2345,49007,415,35447,1609,30246,3099,59143,2893,51492,318,37205,1372,31794,2190,58582,1975,50557,279,36572,911,32168,2324,59136,1558,50822,292,37397,934,32735,2453,58773,2417,51389,282,38003,905,32767,2907,60487,2276,51466,355,38582,800,32571,2675,61608,1989,51799,273,38834,936,33505,2565,62398,2373,52100,277,39723,810,32481,2330,64623,2689,52841,372,40565,832,32062,2808,68694,2131,55125,358,42311,1020
"39","Pennsylvania",27338,797,51865,4543,47228,356,28534,1977,29111,964,57119,2970,49054,352,32454,1390,30167,584,57585,2261,50824,192,31391,908,31751,492,60417,2050,53164,198,33127,959,31308,382,61303,1935,52594,167,32554,718,31995,355,60471,1482,53413,151,32876,808,32621,428,62635,1566,54859,166,33612,824,32496,393,63627,1327,55567,187,33376,729,32426,351,64397,1219,56035,192,33963,657,32606,363,65319,1377,56875,179,34491,735,32493,373,65013,1697,57559,195,34494,639,33645,507,66318,1500,59238,219,35607,623
"40","Rhode Island",31163,5425,56308,19392,55123,1355,28324,5818,35183,5841,50226,9750,55984,1759,30499,2620,35697,3174,55765,7279,58237,973,31620,2452,38013,2026,53266,7470,59870,872,34089,2150,38395,1436,53610,5236,60145,737,33703,1382,34699,2436,53357,4292,60051,804,33679,1543,36853,3465,54842,4695,61356,698,33792,1659,35120,2296,56203,4064,61693,682,32145,1551,33793,2132,53422,2916,62188,761,31820,1489,33969,1656,54070,3491,62747,705,30827,1650,36209,2472,53441,4820,63237,861,31121,1563,37046,2155,62256,7749,64474,721,32464,1679
"41","South Carolina",25704,842,50084,7875,46293,573,35353,2837,26473,605,45936,6103,48295,761,35313,2462,27553,462,52089,5257,50148,467,35527,1199,28850,486,51897,5149,52365,370,36359,1206,28462,301,51607,3798,51269,273,35995,1146,28899,359,50349,2539,51625,297,35843,1052,29486,373,53126,2754,52345,307,35478,1253,29676,432,54282,2350,52249,307,36190,1173,29670,386,57298,2805,52276,339,36510,1110,29971,330,54865,2795,52480,288,36646,1236,30221,277,55313,3038,52996,408,36869,1048,31030,323,58446,2946,54614,399,38057,1451
"42","South Dakota",29407,8019,34340,24144,41746,917,34512,5904,48623,33081,65014,29318,44448,1020,37786,13503,34763,10237,43308,10826,45242,557,33642,3414,23615,13778,57105,16644,47259,562,35172,4189,32401,6878,46768,2660,46552,402,36733,4108,31888,4742,46892,5059,48358,419,36290,5354,31114,4560,47104,6577,50424,481,36162,4318,32442,2412,48630,1304,51381,423,38684,6170,33806,3182,47690,1698,51879,502,35625,3559,33516,3881,47094,3390,52766,489,38767,5063,31758,2317,47699,3344,53435,607,39920,4118,35916,7392,47000,4588,54891,608,41183,4022
"43","Tennessee",27331,973,53469,5598,41777,420,31568,2392,28067,982,49070,6216,43163,602,32049,1722,29584,587,55715,3890,44807,352,34935,1349,31054,502,61089,3809,46699,284,36338,1273,30388,387,60447,2678,46035,228,34483,961,31362,327,60268,2922,46336,235,34606,997,31945,419,63936,2661,47100,232,34857,1021,31979,405,65058,2791,47285,276,33956,1061,32064,354,65226,3062,47516,275,34295,1335,32361,377,66243,1903,48023,271,34631,1050,32344,365,66331,1962,48747,285,35721,891,33293,556,66821,2276,50273,225,37146,1057
"44","Texas",30978,714,55570,2115,52543,427,30882,361,32159,648,60159,1601,55506,394,33354,428,33325,500,61180,1047,57321,262,34306,230,35422,445,64668,974,60757,245,36522,222,34998,312,64193,940,59721,208,35705,213,36464,345,64673,1050,61049,198,37019,177,37419,299,67329,1064,62904,215,38154,216,37906,357,70090,1064,63393,224,38848,199,38156,386,71259,995,63924,220,39629,180,38709,345,73999,921,64875,190,40557,205,39345,402,75796,938,65714,201,41248,191,40750,258,78580,1166,67407,237,42503,272
"45","Utah",41561,12002,41788,5634,49992,912,36893,2190,39744,9488,52465,7268,53281,912,37157,1817,42924,6027,50262,4040,55372,379,39621,1150,41674,6098,56554,2230,58842,422,41463,857,36881,3651,54443,3044,57983,403,41391,836,38731,4584,54627,2965,59013,373,41195,674,36444,5011,57635,3592,60538,395,42684,880,37785,4350,57627,2975,61048,388,42037,1036,36441,3963,55396,3335,61818,415,42056,1071,39915,4238,60046,2213,62817,368,42155,1008,38900,3256,61124,2074,63767,397,43192,1117,40622,4145,63283,2873,65784,394,44366,910
"46","Virginia",37370,913,75680,4304,59364,741,49758,1776,40267,721,73908,3539,61156,521,54087,2192,40903,519,78396,2678,63374,386,56284,1484,42477,644,81818,2487,66224,380,59462,1909,41925,403,82867,1614,65486,278,57544,1140,42468,378,83569,2163,66655,304,57793,1275,43597,537,87364,1409,68728,360,59874,1029,43803,463,89847,1563,69165,291,59245,1066,43885,419,92480,1968,69424,349,59930,1161,44288,463,94223,1645,70309,322,60459,901,44562,563,94896,1924,70415,309,60904,1036,45374,440,96617,1291,71663,345,61545,1054
"47","Washington",35613,3134,54276,2605,51295,473,31968,1140,40659,2082,58612,2768,54825,559,36222,1621,39718,1686,60371,1426,56281,331,36998,745,40989,1786,64743,1515,59687,409,40876,966,39703,1274,64227,1172,58718,269,40350,712,40497,1059,66251,1376,59820,304,41284,647,40418,970,68652,1546,61463,246,42046,679,41087,1075,70148,1439,62022,282,42295,600,41325,1086,70991,1318,62101,304,42320,731,42120,1091,72430,1445,62818,318,42945,612,42200,1178,74914,1237,63582,330,44073,695,44438,1391,78778,1671,65599,367,46297,713
"48","West Virginia",24399,3098,42431,28779,33870,835,27755,6694,21554,2835,60677,32065,35459,606,37631,10958,22474,1940,52039,15409,36526,404,30779,3593,24145,1701,54670,20725,38434,348,32520,4557,24394,1408,51438,6228,37765,333,34910,5403,25866,1469,51208,6293,38866,368,36002,4492,27192,2224,56411,7649,40036,321,36674,3868,27366,2033,60156,13220,40866,316,38799,4971,28138,2085,54670,7482,41504,338,39744,5313,28993,1845,51842,5248,42123,362,40751,5091,29202,1859,57500,7357,42224,450,40847,1637,31119,2503,60814,4743,43060,410,41955,3080
"49","Wisconsin",26318,2127,45018,6790,49553,513,32357,1935,26161,1322,50264,4630,50997,311,34332,1977,27104,971,52663,3158,52459,267,36165,1455,28508,1234,55503,3055,54419,240,38503,1637,27986,805,55544,2443,53786,174,37911,947,27859,767,53994,2366,54013,152,37787,1146,27647,682,54462,2992,54951,167,38813,840,27318,715,54858,2299,55159,195,38287,851,27016,517,55000,2409,55199,203,36788,844,26968,515,53887,2412,55749,203,36826,740,27099,565,57785,2353,56470,218,37766,918,27979,800,60488,1923,57786,237,38972,981
"50","Wyoming",53692,23781,NA,NA,47504,1748,30841,4819,41170,12858,40764,16697,48744,1925,43660,8618,41171,8039,38750,16221,51055,976,44840,4067,41589,3852,48182,31254,54287,998,46696,3878,40688,7330,39018,7393,53482,722,43202,2151,35714,12313,49861,20506,55247,748,45256,2498,31848,7139,45838,15350,57919,875,46623,2585,31344,4799,46205,10545,58396,1078,43050,5076,33750,6080,38053,3981,59438,842,44436,3259,36479,10105,43125,10039,60462,760,42803,3103,38958,8227,38762,7044,60950,784,43813,2731,44079,7352,45049,8502,61200,762,45234,2634
"51","Puerto Rico",17723,1598,23305,3908,24098,5060,17085,310,18106,1168,18649,3224,31698,3547,17476,369,17961,895,20063,5194,29173,2591,18066,210,18034,752,18024,3148,31460,2580,18497,167,18102,487,18331,2518,29745,2077,18523,142,18185,523,17632,2768,30628,2340,18692,157,18425,571,17047,3332,27964,2643,19050,140,19072,495,17163,3094,27042,2622,19448,148,19238,563,15637,3213,27023,2189,19561,141,19463,499,15639,3411,28278,3894,19625,140,19057,459,14389,3087,27066,3382,19291,161,19001,458,15356,2688,29437,2760,19537,167
"52","Vermont",NA,NA,73179,16842,45896,1241,28606,10908,NA,NA,49244,18429,47937,1272,45899,7657,38022,12999,60272,16199,49626,696,46567,10895,31058,10597,56526,10594,51915,650,50901,6800,40240,6671,48563,9048,51553,490,51858,7039,40873,5407,39671,8443,52153,431,50833,6215,42167,4135,39496,8274,53761,478,54964,6416,45690,8478,45313,8307,54545,652,54547,7206,49559,10188,48350,7595,54675,586,53007,4836,54531,8461,55417,9463,54682,584,50410,6894,50417,9152,55179,7895,55504,580,51231,6398,42935,12295,53801,5810,56602,794,49396,3775
